Учетный день,Количество гостей,"Сумма без скидки, р.","Средняя выручка с гостя, р."
10.06.2021,342,1316.12,3.79
11.06.2021,323,1258.11,3.85
12.06.2021,218,909.09,4.13
13.06.2021,88,385.01,4.26
14.06.2021,314,1261.09,3.90
15.06.2021,331,1283.05,3.84
16.06.2021,341,1350.12,3.88
17.06.2021,289,1216.08,4.11
18.06.2021,334,1323.09,3.82
19.06.2021,144,639.03,4.40
20.06.2021,68,307.03,4.49
21.06.2021,275,1146.04,4.14
22.06.2021,251,963.05,3.79
23.06.2021,255,973.04,3.75
24.06.2021,220,844.05,3.76
25.06.2021,273,1014.03,3.66
26.06.2021,153,678.03,4.38
27.06.2021,61,254.00,4.09
28.06.2021,262,1083.11,4.12
29.06.2021,270,1055.08,3.86
30.06.2021,273,1159.08,4.19
01.07.2021,251,894.12,3.49
02.07.2021,174,699.09,3.97
03.07.2021,88,368.03,4.05
04.07.2021,73,309.02,4.09
05.07.2021,225,894.10,3.91
06.07.2021,232,932.08,3.96
07.07.2021,275,1122.08,4.04
08.07.2021,226,885.05,3.88
09.07.2021,239,976.15,4.04
10.07.2021,109,472.04,4.28
11.07.2021,62,272.05,4.36
12.07.2021,203,810.00,3.94
13.07.2021,219,898.06,4.05
14.07.2021,252,963.04,3.77
15.07.2021,267,1086.07,4.02
16.07.2021,232,916.07,3.89
17.07.2021,119,470.02,3.82
18.07.2021,69,317.04,4.39
19.07.2021,240,1019.03,4.17
20.07.2021,291,1178.14,3.95
21.07.2021,272,1132.04,4.10
22.07.2021,266,1157.07,4.27
23.07.2021,262,1073.10,4.00
24.07.2021,113,601.04,5.22
25.07.2021,57,258.03,4.47
26.07.2021,264,1075.08,4.02
27.07.2021,252,986.13,3.78
28.07.2021,243,960.08,3.92
29.07.2021,218,889.10,4.01
30.07.2021,214,933.63,4.17
31.07.2021,146,661.16,4.49
01.08.2021,67,347.11,5.11
02.08.2021,221,830.32,3.71
03.08.2021,246,973.29,3.91
04.08.2021,214,831.89,3.82
05.08.2021,183,773.09,4.19
06.08.2021,157,631.95,3.95
07.08.2021,110,453.31,3.99
08.08.2021,82,322.70,3.86
09.08.2021,236,972.66,4.08
10.08.2021,236,984.42,4.13
11.08.2021,228,911.76,3.96
12.08.2021,227,987.89,4.23
13.08.2021,208,800.85,3.78
14.08.2021,114,498.85,4.30
15.08.2021,82,402.22,4.71
16.08.2021,211,852.42,4.00
